Stop Name,Total Delay Time
Greenpoint Av,18 days 10:39:00
Flushing-Main St,18 days 08:37:40
Broadway,17 days 21:55:51
52 St,17 days 21:29:03
77 St,17 days 16:20:43
21 St,17 days 10:25:47
Neck Rd,17 days 08:47:27
104 St,17 days 07:55:18
Nassau Av,16 days 12:00:39
Avenue J,16 days 08:40:37
Borough Hall,16 days 06:23:52
Ocean Pkwy,16 days 04:33:21
149 St-Grand Concourse,16 days 03:27:49
Rockaway Av,15 days 22:55:38
Union St,15 days 22:35:52
Hewes St,15 days 17:28:23
Fordham Rd,15 days 13:51:45
Kingston-Throop Avs,15 days 09:12:43
Nevins St,15 days 03:25:50
Avenue M,15 days 02:05:19
Alabama Av,15 days 00:18:15
E 180 St,14 days 09:30:14
Ralph Av,14 days 08:19:22
Inwood-207 St,14 days 07:14:33
Beach 67 St,14 days 05:48:41
34 St-Hudson Yards,14 days 03:39:46
46 St-Bliss St,14 days 02:41:55
Bowery,14 days 00:49:45
Bay Ridge Av,13 days 21:27:23
Bedford-Nostrand Avs,13 days 19:35:05
53 St,13 days 10:55:54
8 Av,13 days 08:17:36
Bay Ridge-95 St,12 days 23:12:39
Cortlandt St,12 days 18:12:38
Norwood-205 St,12 days 15:15:13
Myrtle-Willoughby Avs,12 days 12:27:27
Kosciuszko St,12 days 02:24:56
Crown Hts-Utica Av,11 days 20:58:03
Cypress Hills,11 days 18:46:02
Brighton Beach,11 days 15:09:52
Aqueduct-N Conduit Av,11 days 13:51:15
Classon Av,11 days 07:55:36
138 St-Grand Concourse,11 days 07:39:58
Cathedral Pkwy (110 St),10 days 23:04:02
Broad St,10 days 20:26:14
Burnside Av,10 days 19:42:27
Chauncey St,10 days 18:26:20
182-183 Sts,10 days 14:17:08
Parkside Av,10 days 12:15:03
85 St-Forest Pkwy,10 days 08:38:57
Norwood Av,10 days 05:16:29
Liberty Av,10 days 02:25:40
Bowling Green,9 days 22:00:25
36 Av,9 days 15:59:11
Flatbush Av-Brooklyn College,9 days 14:10:39
Fresh Pond Rd,9 days 08:13:14
9 Av,9 days 05:08:34
39 Av-Dutch Kills,9 days 02:49:24
Cortelyou Rd,9 days 01:41:36
Beach 60 St,9 days 01:31:20
Shepherd Av,8 days 23:52:37
Bleecker St,8 days 21:13:08
174-175 Sts,8 days 15:25:18
Jamaica-179 St,8 days 15:12:02
President Street-Medgar Evers College,8 days 14:43:55
Parkchester,8 days 07:18:38
Gates Av,8 days 06:25:10
South Ferry,8 days 01:17:45
Wall St,8 days 01:00:35
Central Av,7 days 23:41:37
Astoria-Ditmars Blvd,7 days 22:03:08
75 St-Elderts Ln,7 days 20:28:02
Aqueduct Racetrack,7 days 08:04:47
Ozone Park-Lefferts Blvd,7 days 06:38:47
Knickerbocker Av,7 days 04:24:19
Avenue H,7 days 04:24:10
3 Av-149 St,6 days 21:49:54
Beach 36 St,6 days 16:39:46
Middle Village-Metropolitan Av,6 days 14:09:26
Gun Hill Rd,6 days 13:45:25
Beverley Rd,6 days 07:06:27
Rockaway Park-Beach 116 St,6 days 05:40:19
Woodlawn,6 days 04:09:27
Beach 25 St,6 days 03:33:58
Beach 44 St,6 days 01:41:35
30 Av,5 days 23:37:22
Eastchester-Dyre Av,5 days 23:04:25
Beach 90 St,5 days 20:13:33
Pelham Bay Park,5 days 18:50:24
3 Av-138 St,5 days 18:49:46
Far Rockaway-Mott Av,5 days 15:58:15
Hunts Point Av,5 days 13:48:22
Pelham Pkwy,5 days 11:58:00
Morris Park,5 days 08:55:09
Van Cortlandt Park-242 St,5 days 06:05:08
20 Av,5 days 02:58:58
Beach 105 St,4 days 23:52:10
Central Park North (110 St),4 days 23:16:15
Forest Av,4 days 21:20:05
Wakefield-241 St,4 days 16:00:58
Newkirk Av - Little Haiti,4 days 15:51:42
Astor Pl,4 days 15:38:52
Beverly Rd,4 days 14:46:03
Houston St,4 days 14:31:57
Seneca Av,4 days 14:04:58
Cleveland St,4 days 12:22:05
Winthrop St,4 days 11:04:09
Bay 50 St,4 days 10:54:50
Mosholu Pkwy,4 days 10:53:50
Clark St,4 days 08:27:25
Bedford Park Blvd-Lehman College,4 days 08:06:51
Eastern Pkwy-Brooklyn Museum,4 days 07:36:35
Tompkinsville,4 days 06:25:18
Grasmere,4 days 05:29:52
168 St-Washington Hts,4 days 03:21:42
Marble Hill-225 St,4 days 03:20:37
Grand Army Plaza,4 days 01:50:18
Jackson Av,4 days 00:26:54
West Farms Sq-E Tremont Av,3 days 23:44:12
33 St,3 days 21:59:30
Great Kills,3 days 21:09:52
Sterling St,3 days 21:03:26
163 St-Amsterdam Av,3 days 20:38:11
174 St,3 days 19:28:17
Nereid Av,3 days 16:45:09
New Utrecht Av,3 days 15:31:27
79 St,3 days 14:57:16
231 St,3 days 13:55:27
St George,3 days 13:28:42
51 St,3 days 11:32:44
Baychester Av,3 days 10:05:47
Huguenot,3 days 08:10:29
Bronx Park East,3 days 07:11:16
137 St-City College,3 days 06:33:48
WTC Cortlandt,3 days 06:20:49
207 St,3 days 06:06:52
Freeman St,3 days 04:52:01
Pennsylvania Av,3 days 04:43:53
Christopher St-Sheridan Sq,3 days 03:21:40
Clifton,3 days 03:18:43
Oakwood Heights,3 days 02:00:20
Eltingville,3 days 01:38:14
238 St,3 days 01:20:47
Annadale,2 days 23:50:20
Sutter Av-Rutland Rd,2 days 23:41:55
183 St,2 days 23:10:54
Simpson St,2 days 23:05:15
Kingston Av,2 days 21:45:57
Stapleton,2 days 21:45:31
25 Av,2 days 21:36:11
233 St,2 days 21:10:20
Richmond Valley,2 days 21:05:28
Bay Terrace,2 days 20:24:29
Beach 98 St,2 days 19:21:13
Pleasant Plains,2 days 18:57:46
Saratoga Av,2 days 17:26:06
Dongan Hills,2 days 17:21:02
215 St,2 days 16:58:56
New Dorp,2 days 16:04:58
Jefferson Av,2 days 15:36:49
Park Place,2 days 13:59:35
71 St,2 days 13:47:46
Castle Hill Av,2 days 13:00:13
68 St-Hunter College,2 days 12:21:52
219 St,2 days 11:40:10
Westchester Sq-E Tremont Av,2 days 11:13:22
Intervale Av,2 days 11:06:29
62 St,2 days 10:27:50
Old Town,2 days 08:04:58
Allerton Av,2 days 06:49:18
Prince's Bay,2 days 06:10:16
Franklin St,2 days 06:00:31
55 St,2 days 05:38:46
Arthur Kill,2 days 04:50:21
18 St,2 days 04:45:38
Middletown Rd,2 days 03:06:10
E 143 St-St Mary's St,2 days 02:34:38
Buhre Av,2 days 01:53:58
Hoyt St,2 days 00:57:53
Junius St,2 days 00:55:33
Whitlock Av,2 days 00:38:10
110 St,1 days 23:54:17
225 St,1 days 23:38:57
66 St-Lincoln Center,1 days 23:25:32
Mt Eden Av,1 days 23:13:01
Grant City,1 days 21:14:01
176 St,1 days 19:05:10
157 St,1 days 18:21:32
Longwood Av,1 days 17:56:59
Burke Av,1 days 16:30:24
191 St,1 days 16:19:54
Brook Av,1 days 15:48:46
St Lawrence Av,1 days 14:21:35
Botanic Garden,1 days 12:51:09
Zerega Av,1 days 12:34:55
Harlem-148 St,1 days 12:08:41
Elder Av,1 days 12:06:32
Tottenville,1 days 10:27:11
E 149 St,1 days 10:01:50
Cypress Av,1 days 09:52:52
Park Pl,1 days 09:05:02
Morrison Av-Soundview,1 days 06:22:28
116 St-Columbia University,1 days 05:51:11
