stop_id,Delay Count,Stop Name,Borough,GTFS Longitude,GTFS Latitude,branch
M08,2083,Myrtle-Wyckoff Avs,Bk,-73.912385,40.69943,['B/D/F/M']
137,2076,Chambers St,M,-74.009266,40.715478,['1 2 3']
D05,2067,Fordham Rd,Bx,-73.897749,40.861296,['B/D/F/M']
235,2061,Atlantic Av-Barclays Ctr,Bk,-73.977666,40.684359,['4 5 6' '1 2 3']
D40,1983,Brighton Beach,Bk,-73.961376,40.577621,['N/Q/R' 'B/D/F/M']
D01,1982,Norwood-205 St,Bx,-73.878855,40.874811,['B/D/F/M']
J23,1941,Van Siclen Av,Bk,-73.891688,40.678024,['J/Z']
J16,1935,85 St-Forest Pkwy,Q,-73.86001,40.692435,['J/Z']
B12,1931,9 Av,Bk,-73.994324,40.646292,['B/D/F/M']
J15,1907,Woodhaven Blvd,Q,-73.851576,40.693879,['J/Z']
234,1868,Nevins St,Bk,-73.980492,40.688246,['4 5 6' '1 2 3']
A52,1863,Liberty Av,Bk,-73.896548,40.674542,['A/C/E']
M22,1852,Fulton St,M,-74.007582,40.710374,['J/Z']
H02,1843,Aqueduct-N Conduit Av,Q,-73.834058,40.668234,['A/C/E']
423,1821,Borough Hall,Bk,-73.990151,40.692404,['4 5 6']
D30,1804,Cortelyou Rd,Bk,-73.963891,40.640927,['N/Q/R']
127,1766,Times Sq-42 St,M,-73.987495,40.75529,['1 2 3']
420,1756,Bowling Green,M,-74.014065,40.704817,['4 5 6']
142,1749,South Ferry,M,-74.013664,40.702068,['1 2 3']
M10,1738,Central Av,Bk,-73.927397,40.697857,['B/D/F/M']
707,1733,Junction Blvd,Q,-73.869527,40.749145,['7']
A17,1729,Cathedral Pkwy (110 St),M,-73.958161,40.800603,['A/C/E' 'B/D/F/M']
H01,1723,Aqueduct Racetrack,Q,-73.835919,40.672097,['A/C/E']
A53,1718,Van Siclen Av,Bk,-73.890358,40.67271,['A/C/E']
409,1717,Burnside Av,Bx,-73.907684,40.853453,['4 5 6']
123,1704,72 St,M,-73.98197,40.778453,['1 2 3']
D37,1689,Avenue U,Bk,-73.955929,40.5993,['N/Q/R']
M04,1688,Fresh Pond Rd,Q,-73.895877,40.706186,['B/D/F/M']
213,1674,E 180 St,Bx,-73.873488,40.841894,['1 2 3' '4 5 6']
721,1673,Vernon Blvd-Jackson Av,Q,-73.953581,40.742626,['7']
D06,1667,182-183 Sts,Bx,-73.900741,40.856093,['B/D/F/M']
120,1653,96 St,M,-73.972323,40.793919,['1 2 3']
J17,1626,75 St-Elderts Ln,Q,-73.867139,40.691324,['J/Z']
J14,1607,104 St,Q,-73.84433,40.695178,['J/Z']
A54,1593,Shepherd Av,Bk,-73.88075,40.67413,['A/C/E']
608,1547,Parkchester,Bx,-73.860816,40.833226,['4 5 6']
132,1502,14 St,M,-74.000201,40.737826,['1 2 3']
416,1482,138 St-Grand Concourse,Bx,-73.929849,40.813224,['4 5 6']
637,1471,Bleecker St,M,-73.994659,40.725915,['4 5 6']
D32,1425,Avenue H,Bk,-73.961639,40.62927,['N/Q/R']
G22,1380,Court Sq,Q,-73.943832,40.746554,['G']
A64,1372,111 St,Q,-73.832163,40.684331,['A/C/E']
H07,1371,Beach 60 St,Q,-73.788522,40.592374,['A/C/E']
128,1352,34 St-Penn Station,M,-73.991057,40.750373,['1 2 3']
D08,1342,174-175 Sts,Bx,-73.910136,40.8459,['B/D/F/M']
M23,1333,Broad St,M,-74.011056,40.706476,['J/Z']
R06,1326,36 Av,Q,-73.929575,40.756804,['N/Q/R']
M01,1307,Middle Village-Metropolitan Av,Q,-73.889601,40.711396,['B/D/F/M']
A63,1291,104 St,Q,-73.837683,40.681711,['A/C/E']
F01,1274,Jamaica-179 St,Q,-73.783817,40.712646,['B/D/F/M' 'A/C/E']
A65,1265,Ozone Park-Lefferts Blvd,Q,-73.825798,40.685951,['A/C/E']
Q05,1256,96 St,M,-73.947152,40.784318,['N/Q/R']
250,1241,Crown Hts-Utica Av,Bk,-73.932942,40.668897,['4 5 6' '1 2 3']
H15,1215,Rockaway Park-Beach 116 St,Q,-73.835592,40.580903,['A/C/E' nan]
222,1214,149 St-Grand Concourse,Bx,-73.926718,40.81841,['1 2 3' '4 5 6']
M09,1214,Knickerbocker Av,Bk,-73.919711,40.698664,['B/D/F/M']
D29,1186,Beverley Rd,Bk,-73.964492,40.644031,['N/Q/R']
S30,1179,Tompkinsville,SI,-74.074835,40.636949,[nan]
619,1167,3 Av-138 St,Bx,-73.926138,40.810476,['4 5 6']
J22,1120,Cleveland St,Bk,-73.884639,40.679947,['J/Z']
H09,1093,Beach 36 St,Q,-73.768175,40.595398,['A/C/E']
N10,1079,86 St,Bk,-73.97823,40.592721,['N/Q/R']
101,1056,Van Cortlandt Park-242 St,Bx,-73.898583,40.889248,['1 2 3']
N07,1054,Bay Pkwy,Bk,-73.981848,40.611815,['N/Q/R']
N03,1043,Fort Hamilton Pkwy,Bk,-74.005351,40.631386,['N/Q/R']
247,1037,Flatbush Av-Brooklyn College,Bk,-73.947642,40.632836,['1 2 3' '4 5 6']
H10,1027,Beach 25 St,Q,-73.761353,40.600066,['A/C/E']
613,1010,Hunts Point Av,Bx,-73.890549,40.820948,['4 5 6']
241,1000,President Street-Medgar Evers College,Bk,-73.950683,40.667883,['4 5 6' '1 2 3']
418,986,Fulton St,M,-74.009509,40.710368,['4 5 6']
H14,983,Beach 105 St,Q,-73.827559,40.583209,['A/C/E' nan]
H12,982,Beach 90 St,Q,-73.813641,40.588034,['A/C/E' nan]
H08,981,Beach 44 St,Q,-73.776013,40.592943,['A/C/E']
413,971,167 St,Bx,-73.9214,40.835537,['4 5 6']
H11,959,Far Rockaway-Mott Av,Q,-73.755405,40.603995,['A/C/E']
414,944,161 St-Yankee Stadium,Bx,-73.925831,40.827994,['4 5 6']
415,910,149 St-Grand Concourse,Bx,-73.927351,40.818375,['4 5 6']
112,908,168 St-Washington Hts,M,-73.940133,40.840556,['1 2 3']
109,904,Dyckman St,M,-73.925536,40.860531,['1 2 3']
M06,899,Seneca Av,Q,-73.90774,40.702762,['B/D/F/M']
134,881,Houston St,M,-74.005367,40.728251,['1 2 3']
R04,843,30 Av,Q,-73.921479,40.766779,['N/Q/R']
636,836,Astor Pl,M,-73.99107,40.730054,['4 5 6']
601,830,Pelham Bay Park,Bx,-73.828121,40.852462,['4 5 6']
R01,818,Astoria-Ditmars Blvd,Q,-73.912034,40.775036,['N/Q/R']
221,815,3 Av-149 St,Bx,-73.917757,40.816109,['1 2 3' '4 5 6']
S27,788,Grasmere,SI,-74.084087,40.603117,[nan]
R08,786,39 Av-Dutch Kills,Q,-73.932755,40.752882,['N/Q/R']
106,785,Marble Hill-225 St,M,-73.909831,40.874561,['1 2 3']
M05,784,Forest Av,Q,-73.903077,40.704423,['B/D/F/M']
S21,771,Oakwood Heights,SI,-74.12632,40.56511,[nan]
632,748,33 St,M,-73.982076,40.746081,['4 5 6']
115,746,137 St-City College,M,-73.953676,40.822008,['1 2 3']
244,739,Church Av,Bk,-73.949575,40.650843,['1 2 3' '4 5 6']
S20,736,Bay Terrace,SI,-74.136907,40.5564,[nan]
630,733,51 St,M,-73.97192,40.757107,['4 5 6']
401,724,Woodlawn,Bx,-73.878751,40.886037,['4 5 6']
104,720,231 St,Bx,-73.904834,40.878856,['1 2 3']
108,718,207 St,M,-73.918822,40.864621,['1 2 3']
S24,714,Jefferson Av,SI,-74.103338,40.583591,[nan]
419,694,Wall St,M,-74.011862,40.707557,['4 5 6']
N06,691,20 Av,Bk,-73.985026,40.61741,['N/Q/R']
B23,689,Bay 50 St,Bk,-73.983765,40.588841,['B/D/F/M']
S16,687,Huguenot,SI,-74.191794,40.533674,[nan]
S31,674,St George,SI,-74.073643,40.643748,[nan]
N04,673,New Utrecht Av,Bk,-73.996353,40.624842,['N/Q/R']
138,671,WTC Cortlandt,M,-74.012188,40.711835,['1 2 3']
S19,664,Great Kills,SI,-74.151399,40.551231,[nan]
S11,658,Arthur Kill,SI,-74.242096,40.516578,[nan]
S17,651,Annadale,SI,-74.178217,40.54046,[nan]
R05,648,Broadway,Q,-73.925508,40.76182,['N/Q/R']
A10,644,163 St-Amsterdam Av,M,-73.939892,40.836013,['A/C/E']
S28,639,Clifton,SI,-74.071402,40.621319,[nan]
638,628,Spring St,M,-73.997141,40.722301,['4 5 6']
135,621,Canal St,M,-74.006277,40.722854,['1 2 3']
103,618,238 St,Bx,-73.90087,40.884667,['1 2 3']
N08,614,Kings Hwy,Bk,-73.980353,40.603923,['N/Q/R']
133,605,Christopher St-Sheridan Sq,M,-74.002906,40.733422,['1 2 3']
639,605,Canal St,M,-74.000193,40.718803,['4 5 6']
125,592,59 St-Columbus Circle,M,-73.981929,40.768247,['1 2 3']
S25,587,Dongan Hills,SI,-74.09609,40.588849,[nan]
107,582,215 St,M,-73.915279,40.869444,['1 2 3']
S22,581,New Dorp,SI,-74.11721,40.57348,[nan]
501,574,Eastchester-Dyre Av,Bx,-73.830834,40.8883,['4 5 6']
227,573,Central Park North (110 St),M,-73.951822,40.799075,['1 2 3']
405,563,Bedford Park Blvd-Lehman College,Bx,-73.890064,40.873412,['4 5 6']
246,554,Newkirk Av - Little Haiti,Bk,-73.948411,40.639967,['1 2 3' '4 5 6']
S14,544,Pleasant Plains,SI,-74.217847,40.52241,[nan]
S15,543,Prince's Bay,SI,-74.200064,40.525507,[nan]
245,541,Beverly Rd,Bk,-73.948959,40.645098,['4 5 6' '1 2 3']
628,540,68 St-Hunter College,M,-73.96387,40.768141,['4 5 6']
N05,534,18 Av,Bk,-73.990414,40.620671,['N/Q/R']
625,532,96 St,M,-73.95107,40.785672,['4 5 6']
402,531,Mosholu Pkwy,Bx,-73.884655,40.87975,['4 5 6']
126,527,50 St,M,-73.983849,40.761728,['1 2 3']
111,523,181 St,M,-73.933596,40.849505,['1 2 3']
N09,520,Avenue U,Bk,-73.979137,40.597473,['N/Q/R']
505,518,Morris Park,Bx,-73.860495,40.854364,['4 5 6']
634,516,23 St,M,-73.986599,40.739864,['4 5 6']
139,511,Rector St,M,-74.013783,40.707513,['1 2 3']
S18,505,Eltingville,SI,-74.16457,40.544601,[nan]
201,503,Wakefield-241 St,Bx,-73.85062,40.903125,['1 2 3' '4 5 6']
S29,499,Stapleton,SI,-74.075162,40.627915,[nan]
243,497,Winthrop St,Bk,-73.9502,40.656652,['4 5 6' '1 2 3']
627,489,77 St,M,-73.959874,40.77362,['4 5 6']
622,483,116 St,M,-73.941617,40.798629,['4 5 6']
231,478,Clark St,Bk,-73.993086,40.697466,['1 2 3']
124,478,66 St-Lincoln Center,M,-73.982209,40.77344,['1 2 3']
H13,473,Beach 98 St,Q,-73.820558,40.585307,['A/C/E' nan]
S13,473,Richmond Valley,SI,-74.229141,40.519631,[nan]
B17,469,71 St,Bk,-73.998864,40.619589,['B/D/F/M']
136,461,Franklin St,M,-74.006886,40.719318,['1 2 3']
248,450,Nostrand Av,Bk,-73.950466,40.669847,['1 2 3' '4 5 6']
S26,449,Old Town,SI,-74.087368,40.596612,[nan]
242,446,Sterling St,Bk,-73.95085,40.662742,['1 2 3' '4 5 6']
204,442,Nereid Av,Bx,-73.854376,40.898379,['1 2 3' '4 5 6']
B13,436,Fort Hamilton Pkwy,Bk,-73.994304,40.640914,['B/D/F/M']
238,433,Eastern Pkwy-Brooklyn Museum,Bk,-73.964375,40.671987,['1 2 3' '4 5 6']
237,431,Grand Army Plaza,Bk,-73.971046,40.675235,['1 2 3' '4 5 6']
131,431,18 St,M,-73.997871,40.74104,['1 2 3']
B18,430,79 St,Bk,-74.00061,40.613501,['B/D/F/M']
623,424,110 St,M,-73.94425,40.79502,['4 5 6']
B22,424,25 Av,Bk,-73.986829,40.597704,['B/D/F/M']
406,423,Kingsbridge Rd,Bx,-73.897174,40.86776,['4 5 6']
616,422,E 143 St-St Mary's St,Bx,-73.907657,40.808719,['4 5 6']
214,422,West Farms Sq-E Tremont Av,Bx,-73.880049,40.840295,['1 2 3' '4 5 6']
139,419,Rector St,M,-74.013783,40.707513,['1 2 3']
607,403,Castle Hill Av,Bx,-73.851222,40.834255,['4 5 6']
212,402,Bronx Park East,Bx,-73.868457,40.848828,['1 2 3' '4 5 6']
113,400,157 St,M,-73.94489,40.834041,['1 2 3']
B19,398,18 Av,Bk,-74.001736,40.607954,['B/D/F/M']
129,398,28 St,M,-73.993365,40.747215,['1 2 3']
220,397,Jackson Av,Bx,-73.907807,40.81649,['1 2 3' '4 5 6']
624,396,103 St,M,-73.947478,40.7906,['4 5 6']
633,393,28 St,M,-73.984264,40.74307,['4 5 6']
215,392,174 St,Bx,-73.887734,40.837288,['4 5 6' '1 2 3']
408,392,183 St,Bx,-73.903879,40.858407,['4 5 6']
B15,391,55 St,Bk,-73.995476,40.631435,['B/D/F/M']
255,387,Pennsylvania Av,Bk,-73.894895,40.664635,['4 5 6' '1 2 3']
257,386,New Lots Av,Bk,-73.884079,40.666235,['1 2 3' '4 5 6']
116,385,125 St,M,-73.958372,40.815581,['1 2 3']
612,384,Whitlock Av,Bx,-73.886283,40.826525,['4 5 6']
224,376,135 St,M,-73.94077,40.814229,['1 2 3']
251,366,Sutter Av-Rutland Rd,Bk,-73.92261,40.664717,['1 2 3' '4 5 6']
110,362,191 St,M,-73.929412,40.855225,['1 2 3']
236,362,Bergen St,Bk,-73.975098,40.680829,['1 2 3' '4 5 6']
604,359,Westchester Sq-E Tremont Av,Bx,-73.842952,40.839892,['4 5 6']
130,354,23 St,M,-73.995657,40.744081,['1 2 3']
216,352,Freeman St,Bx,-73.891865,40.829993,['1 2 3' '4 5 6']
614,350,Longwood Av,Bx,-73.896435,40.816104,['4 5 6']
503,344,Gun Hill Rd,Bx,-73.846384,40.869526,['4 5 6']
407,344,Fordham Rd,Bx,-73.901034,40.862803,['4 5 6']
S23,341,Grant City,SI,-74.109704,40.578965,[nan]
229,341,Fulton St,M,-74.006571,40.709416,['1 2 3']
B16,341,62 St,Bk,-73.996895,40.626472,['B/D/F/M']
208,341,Gun Hill Rd,Bx,-73.866256,40.87785,['1 2 3' '4 5 6']
217,337,Simpson St,Bx,-73.893064,40.824073,['4 5 6' '1 2 3']
