stop_id,Delay Count,Stop Name,Borough,GTFS Longitude,GTFS Latitude,branch
725,11206,Times Sq-42 St,M,-73.987691,40.755477,['7']
F21,11053,Carroll St,Bk,-73.995048,40.680303,['B/D/F/M' 'G']
F23,10924,4 Av-9 St,Bk,-73.989779,40.670272,['B/D/F/M' 'G']
R20,10869,14 St-Union Sq,M,-73.990568,40.735736,['N/Q/R']
F06,10850,Kew Gardens-Union Tpke,Q,-73.831008,40.714441,['A/C/E' 'B/D/F/M']
D16,10692,42 St-Bryant Pk,M,-73.984569,40.754222,['B/D/F/M']
L28,10433,East 105 St,Bk,-73.899485,40.650573,['L']
B04,10246,21 St-Queensbridge,Q,-73.942836,40.754203,['B/D/F/M']
L06,10111,1 Av,M,-73.981628,40.730953,['L']
A36,10093,Chambers St,M,-74.008585,40.714111,['A/C/E']
F22,10084,Smith-9 Sts,Bk,-73.995959,40.67358,['B/D/F/M' 'G']
R17,9975,34 St-Herald Sq,M,-73.98795,40.749567,['N/Q/R']
H04,9927,Broad Channel,Q,-73.815925,40.608382,['A/C/E' nan]
D19,9846,14 St,M,-73.996209,40.738228,['B/D/F/M']
721,9833,Vernon Blvd-Jackson Av,Q,-73.953581,40.742626,['7']
L08,9679,Bedford Av,Bk,-73.956872,40.717304,['L']
R16,9444,Times Sq-42 St,M,-73.986754,40.754672,['N/Q/R']
F35,9016,Kings Hwy,Bk,-73.972361,40.603217,['B/D/F/M']
F16,8793,East Broadway,M,-73.990173,40.713715,['B/D/F/M']
F07,8761,75 Av,Q,-73.837324,40.718331,['A/C/E' 'B/D/F/M']
F09,8611,Court Sq-23 St,Q,-73.946,40.747846,['A/C/E' 'B/D/F/M']
D43,8454,Coney Island-Stillwell Av,Bk,-73.981233,40.577422,['B/D/F/M' 'N/Q/R']
705,8355,111 St,Q,-73.855334,40.75173,['7']
L22,8337,Broadway Junction,Bk,-73.90324,40.678856,['L']
A25,8214,50 St,M,-73.985984,40.762456,['A/C/E']
F18,8069,York St,Bk,-73.986751,40.701397,['B/D/F/M']
A09,8065,168 St,M,-73.939561,40.840719,['A/C/E']
R11,8019,Lexington Av/59 St,M,-73.967258,40.76266,['N/Q/R']
D42,8008,W 8 St-NY Aquarium,Bk,-73.975939,40.576127,['B/D/F/M' 'N/Q/R']
A61,7976,Rockaway Blvd,Q,-73.843853,40.680429,['A/C/E']
A33,7948,Spring St,M,-74.003739,40.726227,['A/C/E']
719,7917,Court Sq,Q,-73.945264,40.747023,['7']
M11,7899,Myrtle Av,Bk,-73.935657,40.697207,['B/D/F/M' 'J/Z']
B06,7697,Roosevelt Island,M,-73.95326,40.759145,['B/D/F/M']
F11,7678,Lexington Av/53 St,M,-73.969055,40.757552,['A/C/E' 'B/D/F/M']
716,7488,33 St-Rawson St,Q,-73.930997,40.744587,['7']
D25,7473,7 Av,Bk,-73.972367,40.67705,['N/Q/R' 'B/D/F/M']
R41,7409,59 St,Bk,-74.017881,40.641362,['N/Q/R']
F29,7242,Ditmas Av,Bk,-73.978172,40.636119,['B/D/F/M']
G09,7131,67 Av,Q,-73.852719,40.726523,['N/Q/R' 'B/D/F/M' 'A/C/E']
D14,7026,7 Av,M,-73.981637,40.762862,['A/C/E' 'B/D/F/M']
F05,6983,Briarwood,Q,-73.820574,40.709179,['A/C/E' 'B/D/F/M']
L19,6936,Halsey St,Q,-73.904084,40.695602,['L']
L17,6917,Myrtle-Wyckoff Avs,Bk,-73.911586,40.699814,['L']
L27,6901,New Lots Av,Bk,-73.899232,40.658733,['L']
R28,6867,Court St,Bk,-73.991777,40.6941,['N/Q/R']
G20,6836,36 St,Q,-73.928781,40.752039,['N/Q/R' 'B/D/F/M' 'A/C/E']
D24,6666,Atlantic Av-Barclays Ctr,Bk,-73.97689,40.68446,['N/Q/R' 'B/D/F/M']
F38,6646,Avenue X,Bk,-73.97425,40.58962,['B/D/F/M']
L14,6635,Morgan Av,Bk,-73.933147,40.706152,['L']
D26,6582,Prospect Park,Bk,-73.962246,40.661614,['N/Q/R' 'B/D/F/M' 'S']
F32,6568,Bay Pkwy,Bk,-73.975264,40.620769,['B/D/F/M']
L10,6551,Lorimer St,Bk,-73.950275,40.714063,['L']
D18,6549,23 St,M,-73.992821,40.742878,['B/D/F/M']
H03,6416,Howard Beach-JFK Airport,Q,-73.830301,40.660476,['A/C/E']
711,6370,69 St,Q,-73.896403,40.746325,['7']
F30,6352,18 Av,Bk,-73.976971,40.629755,['B/D/F/M']
F34,6338,Avenue P,Bk,-73.973022,40.608944,['B/D/F/M']
G06,6336,Sutphin Blvd-Archer Av-JFK Airport,Q,-73.807969,40.700486,['A/C/E' 'J/Z']
712,6328,Woodside-61 St,Q,-73.902984,40.74563,['7']
D35,6190,Kings Hwy,Bk,-73.957734,40.60867,['N/Q/R' 'B/D/F/M']
A30,6170,23 St,M,-73.998041,40.745906,['A/C/E']
L15,6165,Jefferson St,Bk,-73.922913,40.706607,['L']
F15,6123,Delancey St-Essex St,M,-73.988114,40.718611,['B/D/F/M']
R27,6097,Whitehall St-South Ferry,M,-74.012994,40.703087,['N/Q/R']
F14,6076,2 Av,M,-73.989938,40.723402,['B/D/F/M']
R15,6075,49 St,M,-73.984139,40.759901,['N/Q/R']
D39,6063,Sheepshead Bay,Bk,-73.954155,40.586896,['N/Q/R' 'B/D/F/M']
R13,5998,5 Av/59 St,M,-73.973347,40.764811,['N/Q/R']
723,5995,Grand Central-42 St,M,-73.976041,40.751431,['7']
707,5978,Junction Blvd,Q,-73.869527,40.749145,['7']
D22,5860,Grand St,M,-73.993753,40.718267,['B/D/F/M']
710,5847,74 St-Broadway,Q,-73.891394,40.746848,['7']
L20,5793,Wilson Av,Bk,-73.904046,40.688764,['L']
L16,5708,DeKalb Av,Bk,-73.918425,40.703811,['L']
724,5450,5 Av,M,-73.981963,40.753821,['7']
G19,5433,Steinway St,Q,-73.92074,40.756879,['N/Q/R' 'B/D/F/M' 'A/C/E']
L25,5431,Sutter Av,Bk,-73.901975,40.669367,['L']
709,5431,82 St-Jackson Hts,Q,-73.883697,40.747659,['7']
L03,5390,14 St-Union Sq.,M,-73.99073,40.734789,['L']
R24,5386,City Hall,M,-74.006978,40.713282,['N/Q/R']
L21,5359,Bushwick Av-Aberdeen St,Bk,-73.905249,40.682829,['L']
D28,5343,Church Av,Bk,-73.962982,40.650527,['N/Q/R' 'B/D/F/M']
A05,5302,190 St,M,-73.93418,40.859022,['A/C/E']
F33,5267,Avenue N,Bk,-73.974197,40.61514,['B/D/F/M']
A21,5180,81 St-Museum of Natural History,M,-73.972143,40.781433,['A/C/E' 'B/D/F/M']
L26,5161,Livonia Av,Bk,-73.900571,40.664038,['L']
L24,5147,Atlantic Av,Bk,-73.903097,40.675345,['L']
A03,5085,Dyckman St,M,-73.927271,40.865491,['A/C/E']
708,5083,90 St-Elmhurst Av,Q,-73.876613,40.748408,['7']
D31,5078,Newkirk Plaza,Bk,-73.962793,40.635082,['N/Q/R' 'B/D/F/M']
L02,5075,6 Av,M,-73.996786,40.737335,['L']
R22,5060,Prince St,M,-73.997702,40.724329,['N/Q/R']
L13,5017,Montrose Av,Bk,-73.93985,40.707739,['L']
A57,4988,Grant Av,Bk,-73.86505,40.677044,['A/C/E']
A14,4946,135 St,M,-73.947649,40.817894,['A/C/E' 'B/D/F/M']
F12,4910,5 Av/53 St,M,-73.975224,40.760167,['A/C/E' 'B/D/F/M']
G18,4862,46 St,Q,-73.913333,40.756312,['N/Q/R' 'B/D/F/M' 'A/C/E']
715,4852,40 St-Lowery St,Q,-73.924016,40.743781,['7']
G10,4830,63 Dr-Rego Park,Q,-73.861604,40.729846,['N/Q/R' 'B/D/F/M' 'A/C/E']
706,4797,103 St-Corona Plaza,Q,-73.8627,40.749865,['7']
A59,4797,80 St,Q,-73.858992,40.679371,['A/C/E']
L11,4759,Graham Av,Bk,-73.944053,40.714565,['L']
718,4715,Queensboro Plaza,Q,-73.940202,40.750582,['7']
G29,4666,Metropolitan Av,Bk,-73.951418,40.712792,['G']
D03,4621,Bedford Park Blvd,Bx,-73.887138,40.873244,['B/D/F/M']
713,4605,52 St,Q,-73.912549,40.744149,['7']
R23,4583,Canal St,M,-74.001775,40.719527,['N/Q/R']
G15,4559,65 St,Q,-73.898453,40.749669,['N/Q/R' 'B/D/F/M' 'A/C/E']
D13,4557,145 St,M,-73.944216,40.824783,['B/D/F/M']
B10,4554,57 St,M,-73.97745,40.763972,['B/D/F/M']
L12,4508,Grand St,Bk,-73.94067,40.711926,['L']
720,4459,Hunters Point Av,Q,-73.948916,40.742216,['7']
G11,4431,Woodhaven Blvd,Q,-73.869229,40.733106,['N/Q/R' 'B/D/F/M' 'A/C/E']
G26,4407,Greenpoint Av,Bk,-73.954449,40.731352,['G']
R21,4386,8 St-NYU,M,-73.992629,40.730328,['N/Q/R']
G16,4354,Northern Blvd,Q,-73.906006,40.752885,['N/Q/R' 'B/D/F/M' 'A/C/E']
L05,4347,3 Av,M,-73.986122,40.732849,['L']
A18,4325,103 St,M,-73.961454,40.796092,['A/C/E' 'B/D/F/M']
F02,4295,169 St,Q,-73.793604,40.71047,['B/D/F/M']
J20,4258,Crescent St,Bk,-73.873785,40.683194,['J/Z']
F36,4242,Avenue U,Bk,-73.973357,40.596063,['B/D/F/M']
J27,4217,Broadway Junction,Bk,-73.904512,40.679498,['J/Z']
G13,4185,Elmhurst Av,Q,-73.882017,40.742454,['N/Q/R' 'B/D/F/M' 'A/C/E']
A16,4146,116 St,M,-73.954882,40.805085,['A/C/E' 'B/D/F/M']
R26,4142,Rector St,M,-74.013342,40.70722,['N/Q/R']
R19,4106,23 St,M,-73.989344,40.741303,['N/Q/R']
635,4061,14 St-Union Sq,M,-73.989951,40.734673,['4 5 6']
R39,4041,45 St,Bk,-74.010006,40.648939,['N/Q/R']
