Location,Household Type,TimeFrame,DataFormat,Data,Fips
Riverdale,All Households,2005,Dollars,66429.87643,208
Williamsbridge,All Households,2005,Dollars,54603.07992,212
Throgs Neck,All Households,2005,Dollars,60436.77167,210
Pelham Parkway,All Households,2005,Dollars,55273.71398,211
Morrisania,All Households,2005,Dollars,25750.6987,203
East Tremont,All Households,2005,Dollars,25750.6987,206
Bedford Park,All Households,2005,Dollars,40150.09143,207
University Heights,All Households,2005,Dollars,26635.71578,205
Concourse/Highbridge,All Households,2005,Dollars,28529.43244,204
Unionport/Soundview,All Households,2005,Dollars,46589.82748,209
Mott Haven,All Households,2005,Dollars,19097.95388,201
Hunts Point,All Households,2005,Dollars,19097.95388,202
Washington Heights,All Households,2005,Dollars,43661.30048,112
Manhattanville,All Households,2005,Dollars,38429.53029,109
Central Harlem,All Households,2005,Dollars,36766.68764,110
East Harlem,All Households,2005,Dollars,37012.67842,111
Upper East Side,All Households,2005,Dollars,113805.775,108
Upper West Side,All Households,2005,Dollars,115581.3061,107
Chelsea/Clinton,All Households,2005,Dollars,97000.0703,104
Midtown Business District,All Households,2005,Dollars,97000.0703,105
Murray Hill/Stuyvesant,All Households,2005,Dollars,118368.2854,106
Lower East Side,All Households,2005,Dollars,44050.21327,103
Battery Park/Tribeca,All Households,2005,Dollars,127748.9167,101
Greenwich Village,All Households,2005,Dollars,127748.9167,102
Tottenville,All Households,2005,Dollars,110392.1377,503
South Beach,All Households,2005,Dollars,81767.88199,502
St. George,All Households,2005,Dollars,71133.93458,501
Williamsburg/Greenpoint,All Households,2005,Dollars,41852.78733,301
Bushwick,All Households,2005,Dollars,35065.366,304
Bedford Stuyvesant,All Households,2005,Dollars,42332.40062,303
Fort Greene/Brooklyn Hts,All Households,2005,Dollars,70247.54326,302
Park Slope,All Households,2005,Dollars,97361.49808,306
Crown Heights North,All Households,2005,Dollars,41713.98807,308
Brownsville,All Households,2005,Dollars,30500.10711,316
East New York,All Households,2005,Dollars,42431.34663,305
Canarsie,All Households,2005,Dollars,72139.88567,318
East Flatbush,All Households,2005,Dollars,57445.02916,317
Crown Heights South,All Households,2005,Dollars,51090.49662,309
Sunset Park,All Households,2005,Dollars,52007.12145,307
Bay Ridge,All Households,2005,Dollars,66792.67846,310
Borough Park,All Households,2005,Dollars,44892.62859,312
Flatbush/Midwood,All Households,2005,Dollars,51296.63414,314
Sheepshead Bay,All Households,2005,Dollars,56546.26959,315
Bensonhurst,All Households,2005,Dollars,55122.54646,311
Coney Island,All Households,2005,Dollars,34776.77347,313
Astoria,All Households,2005,Dollars,51783.11868,401
Jackson Heights,All Households,2005,Dollars,56549.01809,403
Flushing,All Households,2005,Dollars,67537.52203,407
Bayside,All Households,2005,Dollars,90953.36978,411
Queens Village,All Households,2005,Dollars,92814.10444,413
Fresh Meadows/Briarwood,All Households,2005,Dollars,65914.53264,408
Elmhurst/Corona,All Households,2005,Dollars,56451.44633,404
Rego Park/Forest Hills,All Households,2005,Dollars,71877.4039,406
Sunnyside/Woodside,All Households,2005,Dollars,56550.39234,402
Ridgewood/Glendale,All Households,2005,Dollars,66023.0984,405
Woodhaven,All Households,2005,Dollars,63615.41219,409
Jamaica/St. Albans,All Households,2005,Dollars,63776.19945,412
Howard Beach,All Households,2005,Dollars,71078.96458,410
The Rockaways,All Households,2005,Dollars,61984.1773,414
Bronx,All Households,2005,Dollars,40166.58244,36005
Brooklyn,All Households,2005,Dollars,51303.50539,36047
Manhattan,All Households,2005,Dollars,76920.90183,36061
Queens,All Households,2005,Dollars,66091.8109,36081
Staten Island,All Households,2005,Dollars,86609.36516,36085
New York City,All Households,2005,Dollars,59689.17961,3651000
Riverdale,Families,2005,Dollars,69040.95165,208
Williamsbridge,Families,2005,Dollars,61455.09101,212
Throgs Neck,Families,2005,Dollars,74706.98489,210
Pelham Parkway,Families,2005,Dollars,67016.68123,211
Morrisania,Families,2005,Dollars,30208.76608,203
East Tremont,Families,2005,Dollars,30208.76608,206
Bedford Park,Families,2005,Dollars,41746.97007,207
University Heights,Families,2005,Dollars,33663.63088,205
Concourse/Highbridge,Families,2005,Dollars,33736.46614,204
Unionport/Soundview,Families,2005,Dollars,52178.90271,209
Mott Haven,Families,2005,Dollars,22965.09371,201
Hunts Point,Families,2005,Dollars,22965.09371,202
Washington Heights,Families,2005,Dollars,42644.3554,112
Manhattanville,Families,2005,Dollars,44041.96777,109
Central Harlem,Families,2005,Dollars,42596.25664,110
East Harlem,Families,2005,Dollars,41841.79333,111
Upper East Side,Families,2005,Dollars,215878.2025,108
Upper West Side,Families,2005,Dollars,215107.2482,107
Chelsea/Clinton,Families,2005,Dollars,133075.5101,104
Midtown Business District,Families,2005,Dollars,133075.5101,105
Murray Hill/Stuyvesant,Families,2005,Dollars,194127.9459,106
Lower East Side,Families,2005,Dollars,44046.09052,103
Battery Park/Tribeca,Families,2005,Dollars,184225.0995,101
Greenwich Village,Families,2005,Dollars,184225.0995,102
Tottenville,Families,2005,Dollars,118566.1774,503
South Beach,Families,2005,Dollars,90876.41177,502
St. George,Families,2005,Dollars,86054.16811,501
Williamsburg/Greenpoint,Families,2005,Dollars,45938.43293,301
Bushwick,Families,2005,Dollars,38803.32632,304
Bedford Stuyvesant,Families,2005,Dollars,45997.52568,303
Fort Greene/Brooklyn Hts,Families,2005,Dollars,97173.22581,302
Park Slope,Families,2005,Dollars,128158.4432,306
Crown Heights North,Families,2005,Dollars,47825.27834,308
Brownsville,Families,2005,Dollars,34493.67795,316
East New York,Families,2005,Dollars,51200.43663,305
Canarsie,Families,2005,Dollars,84439.42422,318
East Flatbush,Families,2005,Dollars,67008.43573,317
Crown Heights South,Families,2005,Dollars,56434.95533,309
Sunset Park,Families,2005,Dollars,47790.92209,307
Bay Ridge,Families,2005,Dollars,83680.83816,310
Borough Park,Families,2005,Dollars,52228.37572,312
Flatbush/Midwood,Families,2005,Dollars,62351.10208,314
Sheepshead Bay,Families,2005,Dollars,69820.15147,315
Bensonhurst,Families,2005,Dollars,63534.33143,311
Coney Island,Families,2005,Dollars,52545.82749,313
Astoria,Families,2005,Dollars,56969.53862,401
Jackson Heights,Families,2005,Dollars,60545.33743,403
Flushing,Families,2005,Dollars,79433.03104,407
Bayside,Families,2005,Dollars,105553.403,411
Queens Village,Families,2005,Dollars,104904.757,413
Fresh Meadows/Briarwood,Families,2005,Dollars,82784.82708,408
Elmhurst/Corona,Families,2005,Dollars,60089.08639,404
Rego Park/Forest Hills,Families,2005,Dollars,90842.05552,406
Sunnyside/Woodside,Families,2005,Dollars,63778.94795,402
Ridgewood/Glendale,Families,2005,Dollars,70522.39328,405
Woodhaven,Families,2005,Dollars,77213.6171,409
Jamaica/St. Albans,Families,2005,Dollars,73603.46205,412
Howard Beach,Families,2005,Dollars,83334.52713,410
The Rockaways,Families,2005,Dollars,72568.65171,414
Bronx,Families,2005,Dollars,45982.40893,36005
Brooklyn,Families,2005,Dollars,59543.50909,36047
Manhattan,Families,2005,Dollars,89984.52345,36061
Queens,Families,2005,Dollars,75750.04073,36081
Staten Island,Families,2005,Dollars,98065.11414,36085
New York City,Families,2005,Dollars,67852.2253,3651000
Riverdale,Families with Children,2005,Dollars,50847.25435,208
Williamsbridge,Families with Children,2005,Dollars,53898.08961,212
Throgs Neck,Families with Children,2005,Dollars,69968.57048,210
Pelham Parkway,Families with Children,2005,Dollars,68127.07533,211
Morrisania,Families with Children,2005,Dollars,28976.06373,203
East Tremont,Families with Children,2005,Dollars,28976.06373,206
Bedford Park,Families with Children,2005,Dollars,35502.37754,207
University Heights,Families with Children,2005,Dollars,23322.39874,205
Concourse/Highbridge,Families with Children,2005,Dollars,30739.22663,204
Unionport/Soundview,Families with Children,2005,Dollars,44546.31756,209
Mott Haven,Families with Children,2005,Dollars,16988.47995,201
Hunts Point,Families with Children,2005,Dollars,16988.47995,202
Washington Heights,Families with Children,2005,Dollars,37872.95899,112
Manhattanville,Families with Children,2005,Dollars,24942.63963,109
Central Harlem,Families with Children,2005,Dollars,37277.90869,110
East Harlem,Families with Children,2005,Dollars,35837.69457,111
Upper East Side,Families with Children,2005,Dollars,272761.1633,108
Upper West Side,Families with Children,2005,Dollars,274850.0235,107
Chelsea/Clinton,Families with Children,2005,Dollars,175787.2038,104
Midtown Business District,Families with Children,2005,Dollars,175787.2038,105
Murray Hill/Stuyvesant,Families with Children,2005,Dollars,191615.8166,106
Lower East Side,Families with Children,2005,Dollars,40240.79194,103
Battery Park/Tribeca,Families with Children,2005,Dollars,240493.7706,101
Greenwich Village,Families with Children,2005,Dollars,240493.7706,102
Tottenville,Families with Children,2005,Dollars,118728.3389,503
South Beach,Families with Children,2005,Dollars,88050.95353,502
St. George,Families with Children,2005,Dollars,82655.64757,501
Williamsburg/Greenpoint,Families with Children,2005,Dollars,38959.99083,301
Bushwick,Families with Children,2005,Dollars,29916.05081,304
Bedford Stuyvesant,Families with Children,2005,Dollars,44314.06929,303
Fort Greene/Brooklyn Hts,Families with Children,2005,Dollars,82639.15657,302
Park Slope,Families with Children,2005,Dollars,141375.9808,306
Crown Heights North,Families with Children,2005,Dollars,43181.68719,308
Brownsville,Families with Children,2005,Dollars,30708.99313,316
East New York,Families with Children,2005,Dollars,49063.4777,305
Canarsie,Families with Children,2005,Dollars,80653.36515,318
East Flatbush,Families with Children,2005,Dollars,55332.80673,317
Crown Heights South,Families with Children,2005,Dollars,50401.99731,309
Sunset Park,Families with Children,2005,Dollars,43261.3937,307
Bay Ridge,Families with Children,2005,Dollars,105841.9956,310
Borough Park,Families with Children,2005,Dollars,51840.83718,312
Flatbush/Midwood,Families with Children,2005,Dollars,52835.79427,314
Sheepshead Bay,Families with Children,2005,Dollars,71789.45189,315
Bensonhurst,Families with Children,2005,Dollars,63941.10947,311
Coney Island,Families with Children,2005,Dollars,59018.54555,313
Astoria,Families with Children,2005,Dollars,48517.9004,401
Jackson Heights,Families with Children,2005,Dollars,45970.04068,403
Flushing,Families with Children,2005,Dollars,75844.86399,407
Bayside,Families with Children,2005,Dollars,112706.3749,411
Queens Village,Families with Children,2005,Dollars,113742.5595,413
Fresh Meadows/Briarwood,Families with Children,2005,Dollars,74285.0901,408
Elmhurst/Corona,Families with Children,2005,Dollars,49254.49846,404
Rego Park/Forest Hills,Families with Children,2005,Dollars,102935.4566,406
Sunnyside/Woodside,Families with Children,2005,Dollars,55861.89303,402
Ridgewood/Glendale,Families with Children,2005,Dollars,69163.25992,405
Woodhaven,Families with Children,2005,Dollars,71220.51234,409
Jamaica/St. Albans,Families with Children,2005,Dollars,59951.66138,412
Howard Beach,Families with Children,2005,Dollars,83642.35915,410
The Rockaways,Families with Children,2005,Dollars,63341.93642,414
Bronx,Families with Children,2005,Dollars,38347.07528,36005
Brooklyn,Families with Children,2005,Dollars,53766.1616,36047
Manhattan,Families with Children,2005,Dollars,77867.76016,36061
Queens,Families with Children,2005,Dollars,69462.84644,36081
Staten Island,Families with Children,2005,Dollars,98484.26042,36085
New York City,Families with Children,2005,Dollars,58066.19022,3651000
Riverdale,Families without Children,2005,Dollars,85202.13304,208
Williamsbridge,Families without Children,2005,Dollars,65297.49433,212
Throgs Neck,Families without Children,2005,Dollars,83712.44591,210
Pelham Parkway,Families without Children,2005,Dollars,65197.17408,211
Morrisania,Families without Children,2005,Dollars,34284.79193,203
East Tremont,Families without Children,2005,Dollars,34284.79193,206
Bedford Park,Families without Children,2005,Dollars,69339.16393,207
University Heights,Families without Children,2005,Dollars,43143.20819,205
Concourse/Highbridge,Families without Children,2005,Dollars,48662.19666,204
Unionport/Soundview,Families without Children,2005,Dollars,55706.60276,209
Mott Haven,Families without Children,2005,Dollars,40743.76748,201
Hunts Point,Families without Children,2005,Dollars,40743.76748,202
Washington Heights,Families without Children,2005,Dollars,48680.06191,112
Manhattanville,Families without Children,2005,Dollars,55460.61199,109
Central Harlem,Families without Children,2005,Dollars,48849.09468,110
East Harlem,Families without Children,2005,Dollars,44454.2428,111
Upper East Side,Families without Children,2005,Dollars,189055.5887,108
Upper West Side,Families without Children,2005,Dollars,183495.3727,107
Chelsea/Clinton,Families without Children,2005,Dollars,122135.105,104
Midtown Business District,Families without Children,2005,Dollars,122135.105,105
Murray Hill/Stuyvesant,Families without Children,2005,Dollars,195041.8222,106
Lower East Side,Families without Children,2005,Dollars,46479.88748,103
Battery Park/Tribeca,Families without Children,2005,Dollars,171895.3275,101
Greenwich Village,Families without Children,2005,Dollars,171895.3275,102
Tottenville,Families without Children,2005,Dollars,118401.2674,503
South Beach,Families without Children,2005,Dollars,96634.51976,502
St. George,Families without Children,2005,Dollars,89168.21888,501
Williamsburg/Greenpoint,Families without Children,2005,Dollars,55137.66322,301
Bushwick,Families without Children,2005,Dollars,47959.95485,304
Bedford Stuyvesant,Families without Children,2005,Dollars,47477.59306,303
Fort Greene/Brooklyn Hts,Families without Children,2005,Dollars,107393.5239,302
Park Slope,Families without Children,2005,Dollars,119157.1049,306
Crown Heights North,Families without Children,2005,Dollars,60277.35866,308
Brownsville,Families without Children,2005,Dollars,40000.29817,316
East New York,Families without Children,2005,Dollars,60748.72645,305
Canarsie,Families without Children,2005,Dollars,88828.7791,318
East Flatbush,Families without Children,2005,Dollars,78167.34669,317
Crown Heights South,Families without Children,2005,Dollars,64226.95349,309
Sunset Park,Families without Children,2005,Dollars,55020.85196,307
Bay Ridge,Families without Children,2005,Dollars,78192.08319,310
Borough Park,Families without Children,2005,Dollars,55514.20775,312
Flatbush/Midwood,Families without Children,2005,Dollars,71285.1021,314
Sheepshead Bay,Families without Children,2005,Dollars,65346.96734,315
Bensonhurst,Families without Children,2005,Dollars,63094.5714,311
Coney Island,Families without Children,2005,Dollars,48105.62536,313
Astoria,Families without Children,2005,Dollars,69285.56818,401
Jackson Heights,Families without Children,2005,Dollars,73240.66001,403
Flushing,Families without Children,2005,Dollars,84568.60373,407
Bayside,Families without Children,2005,Dollars,104169.5332,411
Queens Village,Families without Children,2005,Dollars,100640.4589,413
Fresh Meadows/Briarwood,Families without Children,2005,Dollars,89419.70665,408
Elmhurst/Corona,Families without Children,2005,Dollars,75407.85245,404
Rego Park/Forest Hills,Families without Children,2005,Dollars,83436.22164,406
Sunnyside/Woodside,Families without Children,2005,Dollars,72402.36744,402
Ridgewood/Glendale,Families without Children,2005,Dollars,71976.34991,405
Woodhaven,Families without Children,2005,Dollars,81145.34669,409
Jamaica/St. Albans,Families without Children,2005,Dollars,84521.87923,412
Howard Beach,Families without Children,2005,Dollars,82573.19256,410
The Rockaways,Families without Children,2005,Dollars,84372.08597,414
Bronx,Families without Children,2005,Dollars,57670.40618,36005
Brooklyn,Families without Children,2005,Dollars,65617.69461,36047
Manhattan,Families without Children,2005,Dollars,99058.69697,36061
Queens,Families without Children,2005,Dollars,82784.82708,36081
Staten Island,Families without Children,2005,Dollars,97500.29734,36085
New York City,Families without Children,2005,Dollars,75722.55573,3651000
Riverdale,All Households,2006,Dollars,65118.5392,208
Williamsbridge,All Households,2006,Dollars,60422.08955,212
Throgs Neck,All Households,2006,Dollars,68576.6413,210
Pelham Parkway,All Households,2006,Dollars,55768.02184,211
Morrisania,All Households,2006,Dollars,24433.19322,203
East Tremont,All Households,2006,Dollars,24433.19322,206
Bedford Park,All Households,2006,Dollars,37437.82918,207
University Heights,All Households,2006,Dollars,26974.78569,205
Concourse/Highbridge,All Households,2006,Dollars,32228.82285,204
Unionport/Soundview,All Households,2006,Dollars,45865.21473,209
Mott Haven,All Households,2006,Dollars,23630.58507,201
Hunts Point,All Households,2006,Dollars,23630.58507,202
Washington Heights,All Households,2006,Dollars,43026.94862,112
Manhattanville,All Households,2006,Dollars,38093.42495,109
Central Harlem,All Households,2006,Dollars,35769.03997,110
East Harlem,All Households,2006,Dollars,35775.66215,111
Upper East Side,All Households,2006,Dollars,127466.3585,108
Upper West Side,All Households,2006,Dollars,120037.5976,107
Chelsea/Clinton,All Households,2006,Dollars,96297.08439,104
Midtown Business District,All Households,2006,Dollars,96297.08439,105
Murray Hill/Stuyvesant,All Households,2006,Dollars,118820.4411,106
Lower East Side,All Households,2006,Dollars,48870.35975,103
Battery Park/Tribeca,All Households,2006,Dollars,125650.5569,101
Greenwich Village,All Households,2006,Dollars,125650.5569,102
Tottenville,All Households,2006,Dollars,108515.0054,503
South Beach,All Households,2006,Dollars,91439.05356,502
St. George,All Households,2006,Dollars,77450.36173,501
Williamsburg/Greenpoint,All Households,2006,Dollars,42788.55016,301
Bushwick,All Households,2006,Dollars,36888.18829,304
Bedford Stuyvesant,All Households,2006,Dollars,36551.78158,303
Fort Greene/Brooklyn Hts,All Households,2006,Dollars,72781.72523,302
Park Slope,All Households,2006,Dollars,98279.76491,306
Crown Heights North,All Households,2006,Dollars,51022.56807,308
Brownsville,All Households,2006,Dollars,30428.91448,316
East New York,All Households,2006,Dollars,37172.94201,305
Canarsie,All Households,2006,Dollars,78295.35183,318
East Flatbush,All Households,2006,Dollars,54968.06257,317
Crown Heights South,All Households,2006,Dollars,45230.80994,309
Sunset Park,All Households,2006,Dollars,62072.33666,307
Bay Ridge,All Households,2006,Dollars,72967.14626,310
Borough Park,All Households,2006,Dollars,53030.41287,312
Flatbush/Midwood,All Households,2006,Dollars,53136.36774,314
Sheepshead Bay,All Households,2006,Dollars,56168.00148,315
Bensonhurst,All Households,2006,Dollars,51274.21088,311
Coney Island,All Households,2006,Dollars,37061.68939,313
Astoria,All Households,2006,Dollars,55775.96846,401
Jackson Heights,All Households,2006,Dollars,63306.71091,403
Flushing,All Households,2006,Dollars,67066.78439,407
Bayside,All Households,2006,Dollars,89362.33809,411
Queens Village,All Households,2006,Dollars,87469.71921,413
Fresh Meadows/Briarwood,All Households,2006,Dollars,75047.83503,408
Elmhurst/Corona,All Households,2006,Dollars,54862.1077,404
Rego Park/Forest Hills,All Households,2006,Dollars,79578.7302,406
Sunnyside/Woodside,All Households,2006,Dollars,59207.58184,402
Ridgewood/Glendale,All Households,2006,Dollars,66853.55021,405
Woodhaven,All Households,2006,Dollars,69826.90877,409
Jamaica/St. Albans,All Households,2006,Dollars,64768.88812,412
Howard Beach,All Households,2006,Dollars,74982.93768,410
The Rockaways,All Households,2006,Dollars,57706.99598,414
Bronx,All Households,2006,Dollars,41711.78379,36005
Brooklyn,All Households,2006,Dollars,53497.93874,36047
Manhattan,All Households,2006,Dollars,79488.66856,36061
Queens,All Households,2006,Dollars,67797.873,36081
Staten Island,All Households,2006,Dollars,90882.79048,36085
New York City,All Households,2006,Dollars,61559.77997,3651000
Riverdale,Families,2006,Dollars,76431.87053,208
Williamsbridge,Families,2006,Dollars,72185.72908,212
Throgs Neck,Families,2006,Dollars,88815.34607,210
Pelham Parkway,Families,2006,Dollars,65187.40986,211
Morrisania,Families,2006,Dollars,29855.43374,203
East Tremont,Families,2006,Dollars,29855.43374,206
Bedford Park,Families,2006,Dollars,37979.52346,207
University Heights,Families,2006,Dollars,29354.79697,205
Concourse/Highbridge,Families,2006,Dollars,36497.47971,204
Unionport/Soundview,Families,2006,Dollars,53762.82591,209
Mott Haven,Families,2006,Dollars,31026.23506,201
Hunts Point,Families,2006,Dollars,31026.23506,202
Washington Heights,Families,2006,Dollars,41274.71995,112
Manhattanville,Families,2006,Dollars,58091.08239,109
Central Harlem,Families,2006,Dollars,44240.13189,110
East Harlem,Families,2006,Dollars,38684.12335,111
Upper East Side,Families,2006,Dollars,235838.3249,108
Upper West Side,Families,2006,Dollars,223159.5001,107
Chelsea/Clinton,Families,2006,Dollars,134826.2487,104
Midtown Business District,Families,2006,Dollars,134826.2487,105
Murray Hill/Stuyvesant,Families,2006,Dollars,177326.0719,106
Lower East Side,Families,2006,Dollars,47184.35287,103
Battery Park/Tribeca,Families,2006,Dollars,186613.0163,101
Greenwich Village,Families,2006,Dollars,186613.0163,102
Tottenville,Families,2006,Dollars,118911.8271,503
South Beach,Families,2006,Dollars,97342.0643,502
St. George,Families,2006,Dollars,89358.36478,501
Williamsburg/Greenpoint,Families,2006,Dollars,46793.64428,301
Bushwick,Families,2006,Dollars,40322.45054,304
Bedford Stuyvesant,Families,2006,Dollars,41133.00531,303
Fort Greene/Brooklyn Hts,Families,2006,Dollars,81121.69801,302
Park Slope,Families,2006,Dollars,112122.7688,306
Crown Heights North,Families,2006,Dollars,55373.33995,308
Brownsville,Families,2006,Dollars,37147.77773,316
East New York,Families,2006,Dollars,46100.96431,305
Canarsie,Families,2006,Dollars,89374.25801,318
East Flatbush,Families,2006,Dollars,60725.38536,317
Crown Heights South,Families,2006,Dollars,52719.17043,309
Sunset Park,Families,2006,Dollars,63355.71503,307
Bay Ridge,Families,2006,Dollars,87236.61849,310
Borough Park,Families,2006,Dollars,57382.50919,312
Flatbush/Midwood,Families,2006,Dollars,56623.60743,314
Sheepshead Bay,Families,2006,Dollars,74544.5494,315
Bensonhurst,Families,2006,Dollars,63020.63275,311
Coney Island,Families,2006,Dollars,61754.47205,313
Astoria,Families,2006,Dollars,60129.38922,401
Jackson Heights,Families,2006,Dollars,66407.21531,403
Flushing,Families,2006,Dollars,78647.65177,407
Bayside,Families,2006,Dollars,106953.4955,411
Queens Village,Families,2006,Dollars,97282.46469,413
Fresh Meadows/Briarwood,Families,2006,Dollars,81598.49493,408
Elmhurst/Corona,Families,2006,Dollars,56301.76951,404
Rego Park/Forest Hills,Families,2006,Dollars,97743.36837,406
Sunnyside/Woodside,Families,2006,Dollars,59465.84684,402
Ridgewood/Glendale,Families,2006,Dollars,74396.21258,405
Woodhaven,Families,2006,Dollars,79921.75909,409
Jamaica/St. Albans,Families,2006,Dollars,72192.35126,412
Howard Beach,Families,2006,Dollars,80919.05932,410
The Rockaways,Families,2006,Dollars,71980.44152,414
Bronx,Families,2006,Dollars,47696.90956,36005
Brooklyn,Families,2006,Dollars,60755.84739,36047
Manhattan,Families,2006,Dollars,93858.79792,36061
Queens,Families,2006,Dollars,75933.88264,36081
Staten Island,Families,2006,Dollars,104307.2726,36085
New York City,Families,2006,Dollars,68645.51196,3651000
Riverdale,Families with Children,2006,Dollars,66276.09616,208
Williamsbridge,Families with Children,2006,Dollars,66842.95472,212
Throgs Neck,Families with Children,2006,Dollars,94691.86809,210
Pelham Parkway,Families with Children,2006,Dollars,57046.10247,211
Morrisania,Families with Children,2006,Dollars,24447.76202,203
East Tremont,Families with Children,2006,Dollars,24447.76202,206
Bedford Park,Families with Children,2006,Dollars,29112.42521,207
University Heights,Families with Children,2006,Dollars,26599.97033,205
Concourse/Highbridge,Families with Children,2006,Dollars,30730.88586,204
Unionport/Soundview,Families with Children,2006,Dollars,46356.58044,209
Mott Haven,Families with Children,2006,Dollars,24727.21799,201
Hunts Point,Families with Children,2006,Dollars,24727.21799,202
Washington Heights,Families with Children,2006,Dollars,33144.00804,112
Manhattanville,Families with Children,2006,Dollars,60683.00342,109
Central Harlem,Families with Children,2006,Dollars,42050.83937,110
East Harlem,Families with Children,2006,Dollars,32371.86192,111
Upper East Side,Families with Children,2006,Dollars,264887.1772,108
Upper West Side,Families with Children,2006,Dollars,264887.1772,107
Chelsea/Clinton,Families with Children,2006,Dollars,95274.61988,104
Midtown Business District,Families with Children,2006,Dollars,95274.61988,105
Murray Hill/Stuyvesant,Families with Children,2006,Dollars,177397.5914,106
Lower East Side,Families with Children,2006,Dollars,40993.93954,103
Battery Park/Tribeca,Families with Children,2006,Dollars,207842.3991,101
Greenwich Village,Families with Children,2006,Dollars,207842.3991,102
Tottenville,Families with Children,2006,Dollars,130182.7765,503
South Beach,Families with Children,2006,Dollars,100830.6284,502
St. George,Families with Children,2006,Dollars,82205.08656,501
Williamsburg/Greenpoint,Families with Children,2006,Dollars,30371.96373,301
Bushwick,Families with Children,2006,Dollars,36060.41586,304
Bedford Stuyvesant,Families with Children,2006,Dollars,34288.32065,303
Fort Greene/Brooklyn Hts,Families with Children,2006,Dollars,91326.47651,302
Park Slope,Families with Children,2006,Dollars,107599.8202,306
Crown Heights North,Families with Children,2006,Dollars,48176.35535,308
Brownsville,Families with Children,2006,Dollars,30118.99648,316
East New York,Families with Children,2006,Dollars,41070.75682,305
Canarsie,Families with Children,2006,Dollars,86648.56896,318
East Flatbush,Families with Children,2006,Dollars,45641.38506,317
Crown Heights South,Families with Children,2006,Dollars,44365.9533,309
Sunset Park,Families with Children,2006,Dollars,53836.99432,307
Bay Ridge,Families with Children,2006,Dollars,81341.55436,310
Borough Park,Families with Children,2006,Dollars,54725.6908,312
Flatbush/Midwood,Families with Children,2006,Dollars,58558.60826,314
Sheepshead Bay,Families with Children,2006,Dollars,75286.23349,315
Bensonhurst,Families with Children,2006,Dollars,60422.08955,311
Coney Island,Families with Children,2006,Dollars,66387.34878,313
Astoria,Families with Children,2006,Dollars,48302.17676,401
Jackson Heights,Families with Children,2006,Dollars,52076.81903,403
Flushing,Families with Children,2006,Dollars,75471.65452,407
Bayside,Families with Children,2006,Dollars,117163.5718,411
Queens Village,Families with Children,2006,Dollars,84299.0197,413
Fresh Meadows/Briarwood,Families with Children,2006,Dollars,77666.24478,408
Elmhurst/Corona,Families with Children,2006,Dollars,50076.92084,404
Rego Park/Forest Hills,Families with Children,2006,Dollars,98249.30288,406
Sunnyside/Woodside,Families with Children,2006,Dollars,47598.9013,402
Ridgewood/Glendale,Families with Children,2006,Dollars,75058.43052,405
Woodhaven,Families with Children,2006,Dollars,68622.99655,409
Jamaica/St. Albans,Families with Children,2006,Dollars,68763.38676,412
Howard Beach,Families with Children,2006,Dollars,76071.62397,410
The Rockaways,Families with Children,2006,Dollars,61060.46764,414
Bronx,Families with Children,2006,Dollars,38684.12335,36005
Brooklyn,Families with Children,2006,Dollars,53535.02294,36047
Manhattan,Families with Children,2006,Dollars,90596.71233,36061
Queens,Families with Children,2006,Dollars,69416.33365,36081
Staten Island,Families with Children,2006,Dollars,102659.6744,36085
New York City,Families with Children,2006,Dollars,60506.85344,3651000
Riverdale,Families without Children,2006,Dollars,84840.71397,208
Williamsbridge,Families without Children,2006,Dollars,79862.15948,212
Throgs Neck,Families without Children,2006,Dollars,80836.94429,210
Pelham Parkway,Families without Children,2006,Dollars,69420.30696,211
Morrisania,Families without Children,2006,Dollars,39986.04383,203
East Tremont,Families without Children,2006,Dollars,39986.04383,206
Bedford Park,Families without Children,2006,Dollars,46406.909,207
University Heights,Families without Children,2006,Dollars,35080.33331,205
Concourse/Highbridge,Families without Children,2006,Dollars,45138.09942,204
Unionport/Soundview,Families without Children,2006,Dollars,61047.22329,209
Mott Haven,Families without Children,2006,Dollars,38229.84184,201
Hunts Point,Families without Children,2006,Dollars,38229.84184,202
Washington Heights,Families without Children,2006,Dollars,54981.30693,112
Manhattanville,Families without Children,2006,Dollars,56688.50478,109
Central Harlem,Families without Children,2006,Dollars,47523.40845,110
East Harlem,Families without Children,2006,Dollars,46971.11869,111
Upper East Side,Families without Children,2006,Dollars,212929.5574,108
Upper West Side,Families without Children,2006,Dollars,166176.9706,107
Chelsea/Clinton,Families without Children,2006,Dollars,150840.003,104
Midtown Business District,Families without Children,2006,Dollars,150840.003,105
Murray Hill/Stuyvesant,Families without Children,2006,Dollars,177290.3121,106
Lower East Side,Families without Children,2006,Dollars,51543.07137,103
Battery Park/Tribeca,Families without Children,2006,Dollars,174759.3151,101
Greenwich Village,Families without Children,2006,Dollars,174759.3151,102
Tottenville,Families without Children,2006,Dollars,114269.6794,503
South Beach,Families without Children,2006,Dollars,95351.43716,502
St. George,Families without Children,2006,Dollars,104981.4105,501
Williamsburg/Greenpoint,Families without Children,2006,Dollars,60141.30914,301
Bushwick,Families without Children,2006,Dollars,46621.46762,304
Bedford Stuyvesant,Families without Children,2006,Dollars,48612.09475,303
Fort Greene/Brooklyn Hts,Families without Children,2006,Dollars,75544.49849,302
Park Slope,Families without Children,2006,Dollars,120746.1708,306
